first_name,last_name,start_date,exit_date,job_title,supervisor,business_unit,employee_status,employee_type,termination_type,department_type,division,date_of_birth,state,gender_code,performance_score,current_employee_rating,employee_id,engagement_score,satisfaction_score,work_life_balance_score,training_date,training_program_name,training_type,training_outcome,trainer,training_duration_days,training_cost
Abel,Potts,2019-09-30,2021-06-23,"Production Technician I","Lori Martin",EW,"Terminated for Cause",Full-Time,Resignation,Production,"Project Management - Con",2000-03-13,MA,Female,"Fully Meets",1,3177,3,4,2,2023-03-25,"Leadership Development",External,Incomplete,"Aaron Reed",2,423.71
Abel,Snow,2023-07-06,2023-07-23,"Production Technician I","Bryan Ortega DVM",TNS,"Leave of Absence",Full-Time,Involuntary,Production,"Field Operations",1960-01-16,MA,Male,"Fully Meets",4,3103,2,5,2,2023-02-25,"Technical Skills",External,Failed,"Rachel Bishop",1,141.25
Abigayle,Mccann,2022-02-26,2022-10-16,"Production Technician I","Lori Lopez DVM",CCDR,Active,Contract,Resignation,Production,"General - Con",1975-04-27,MA,Female,"Fully Meets",3,1499,4,2,3,2023-01-18,"Customer Service",External,Incomplete,"Pamela Fuentes",5,543.52
Abram,Fisher,2020-06-14,NULL,"Production Technician I","Brian Henderson",PYZ,Active,Contract,Unk,Production,"Yard (Material Handling)",1954-08-30,MA,Female,"Fully Meets",3,1161,3,4,4,2022-11-13,"Technical Skills",Internal,Passed,"Jeffrey Hester",5,926.85
Abril,Cunningham,2019-05-02,NULL,"Production Technician I","Angela Maxwell",CCDR,Active,Contract,Unk,Production,"General - Sga",1983-12-11,MA,Female,"Fully Meets",3,1781,2,2,4,2023-07-04,"Technical Skills",External,Failed,"Frank Perez",4,892.3
Abril,Joseph,2018-12-16,NULL,"Production Technician I","Gregory Hall",TNS,Active,Part-Time,Unk,Production,"Project Management - Con",1978-10-18,MA,Female,"Fully Meets",4,3146,5,1,1,2023-03-06,"Technical Skills",External,Passed,"Alan Barry",5,560.03
Ace,Krause,2021-12-24,2022-07-27,"Database Administrator","Brittany Rubio",CCDR,"Terminated for Cause",Full-Time,Resignation,IT/IS,"Yard (Material Handling)",1971-01-22,TX,Female,"Fully Meets",3,3998,5,5,2,2022-09-26,"Customer Service",External,Completed,"Andre Donaldson",1,994.09
Adalyn,Bass,2022-11-25,NULL,"Production Technician II","Christopher Wallace",MSC,Active,Contract,Unk,Production,"Field Operations",1999-03-14,MA,Female,"Fully Meets",3,2091,3,1,1,2023-07-20,"Leadership Development",Internal,Incomplete,"Joshua Middleton",3,102.77
Adalyn,Hess,2023-01-05,2023-01-14,"BI Developer","Kimberly Moore",CCDR,"Terminated for Cause",Part-Time,Resignation,IT/IS,Aerial,1985-09-06,MA,Female,"Fully Meets",5,2507,2,3,4,2022-12-06,"Technical Skills",External,Incomplete,"Jesse Acosta",2,680.09
Adalyn,Vaughan,2019-03-13,2020-09-12,"Production Technician II","Nathan Hill",WBL,"Voluntarily Terminated",Full-Time,Involuntary,Production,"Field Operations",1985-01-27,MA,Female,"Fully Meets",3,1296,1,1,5,2023-03-05,"Communication Skills",External,Passed,"Michael Gray",2,694.27
Adam,Beltran,2023-05-26,2023-07-14,"Area Sales Manager","Mackenzie Cole",MSC,Active,Full-Time,Involuntary,Sales,Engineers,1980-12-15,ID,Male,"Fully Meets",4,2694,3,4,4,2022-08-08,"Customer Service",External,Failed,"Sandra Warren",2,167.34
Adam,Ingram,2020-04-07,NULL,"Production Technician I","Donna Sullivan",BPC,Active,Contract,Unk,Production,Engineers,1969-05-17,MA,Male,"Fully Meets",2,2798,3,4,2,2023-04-24,"Leadership Development",External,Completed,"Keith Scott",1,840.65
Adam,Meza,2023-03-12,NULL,"Production Technician II","Joshua Peters",PL,Active,Full-Time,Unk,Production,Fielders,1969-01-09,MA,Female,"Fully Meets",5,3075,5,3,1,2023-02-20,"Leadership Development",External,Completed,"Shelby Johnson",4,602.12
Addisyn,Aguilar,2019-01-25,2021-10-26,"Production Technician I","April Stevens",CCDR,Active,Full-Time,Involuntary,Production,"Field Operations",1976-02-05,MA,Female,Exceeds,5,3704,2,4,5,2022-10-07,"Technical Skills",External,Incomplete,"Michael Ramirez",2,669.3
Addisyn,Guerrero,2020-08-31,2022-06-26,"Production Technician I","Cory Lee",EW,Active,Part-Time,Resignation,Production,Engineers,1951-02-15,MA,Female,Exceeds,4,3703,5,5,5,2022-12-27,"Communication Skills",External,Completed,"Andrea Jones",3,121.45
Addyson,Pollard,2021-08-11,2021-11-07,"Production Technician I","Andrew Bass",PYZ,Active,Contract,Resignation,Production,"Wireline Construction",1995-08-16,MA,Male,"Fully Meets",1,2891,5,2,3,2022-12-31,"Technical Skills",External,Incomplete,"Anthony Obrien",4,767.51
Adeel,Osturnka,2022-10-21,2023-05-09,"Production Technician I","Laura Rodriguez",TNS,Active,Part-Time,Involuntary,Production,"General - Con",1976-05-28,MA,Male,"Fully Meets",4,2752,3,5,1,2022-12-06,"Customer Service",Internal,Incomplete,"Mary Robinson",5,450.64
Adelaide,Herman,2022-02-08,NULL,"Production Technician I","Mark Moore",EW,Active,Full-Time,Unk,Production,"General - Eng",1970-12-29,MA,Female,Exceeds,3,2174,1,1,5,2022-11-13,"Technical Skills",External,Incomplete,"Thomas Elliott",2,446.22
Adelaide,Meyer,2020-07-01,2022-10-31,"Production Technician II","Jessica Morales",SVG,"Future Start",Contract,Involuntary,Production,"Yard (Material Handling)",1994-01-25,MA,Female,Exceeds,1,2143,2,1,1,2022-08-11,"Communication Skills",Internal,Incomplete,"Susan Compton",2,322.33
Adell,Saada,2019-06-13,2023-01-12,"Software Engineer","Steven Tran",NEL,Active,Part-Time,Retirement,"Software Engineering","General - Con",1987-03-01,MA,Female,"Fully Meets",3,1009,2,5,1,2022-08-21,"Customer Service",Internal,Incomplete,"Katelyn Hartman",2,101.21
Aden,George,2022-11-07,2023-04-06,"Production Technician I","Tyler Sexton",SVG,Active,Full-Time,Involuntary,Production,"General - Con",1988-05-22,MA,Female,Exceeds,3,2160,1,1,5,2023-06-16,"Customer Service",Internal,Completed,"Mr. Dustin Miranda MD",5,329.65
Adil,Sahoo,2020-12-06,2022-08-26,"Production Technician II","Alexis Shaw",BPC,Active,Part-Time,Voluntary,Production,Fielders,1969-07-20,MA,Male,"Fully Meets",2,2760,2,1,4,2023-05-03,"Leadership Development",Internal,Completed,"Caitlin Chavez",3,287.59
Adison,Huerta,2020-01-22,NULL,"BI Developer","Jeffrey Duran",PL,Active,Contract,Unk,IT/IS,"Field Operations",1985-11-14,MA,Female,"Fully Meets",2,2565,2,5,4,2022-09-11,"Communication Skills",Internal,Passed,"Scott Cherry",2,559.06
Adison,Ray,2020-09-21,2023-03-22,"Production Technician I","Carly Rogers",PYZ,Active,Full-Time,Retirement,Production,"General - Con",1959-06-14,MA,Male,"Fully Meets",1,2955,5,2,3,2023-06-04,"Project Management",External,Failed,"Robin Banks",5,191.49
Adrian,Murray,2019-01-05,NULL,"Production Technician I","Jose Gomez",PYZ,Active,Full-Time,Unk,Production,"General - Eng",1942-11-07,MA,Female,"Fully Meets",3,1910,1,4,1,2022-10-12,"Customer Service",Internal,Passed,"Shannon Spencer",5,614.4
Adriana,Weber,2020-05-16,2022-05-18,"Production Technician II","Jacqueline Jackson",BPC,Active,Full-Time,Resignation,Production,"Field Operations",1947-09-18,MA,Female,"Fully Meets",3,1990,3,1,1,2022-09-18,"Leadership Development",Internal,Incomplete,"Anthony Silva",1,332.51
Adrianna,Johnston,2019-05-27,2022-08-18,"Production Technician I","Melissa Bennett",PYZ,"Voluntarily Terminated",Full-Time,Involuntary,Production,"Field Operations",1946-06-03,MA,Male,"Fully Meets",2,3228,3,5,3,2022-08-09,"Customer Service",External,Passed,"Valerie Gonzalez",3,272.77
Adriel,Wiggins,2022-01-20,NULL,"Area Sales Manager","Sara Edwards",BPC,Active,Contract,Unk,Sales,"Project Management - Eng",1947-03-25,KY,Female,"Needs Improvement",2,3547,2,4,2,2023-04-24,"Technical Skills",External,Failed,"Timothy Black",4,805.05
Adrien,Krause,2019-12-09,NULL,"Production Technician I","Julie Larson",PYZ,Active,Full-Time,Unk,Production,"General - Sga",1963-02-14,MA,Female,"Needs Improvement",2,2943,4,1,5,2023-04-04,"Communication Skills",External,Completed,"Tiffany Rubio",3,494.19
Adrien,Maddox,2018-08-22,2021-11-10,"Production Technician I","Tamara Humphrey",SVG,"Voluntarily Terminated",Contract,Involuntary,Production,"Wireline Construction",1983-04-12,MA,Female,"Needs Improvement",4,2197,2,3,1,2023-03-17,"Technical Skills",External,Passed,"Harry Gibson",2,724.83
Adrien,Olsen,2019-08-17,NULL,"Network Engineer","Jasmine Smith",WBL,Active,Contract,Unk,IT/IS,"Finance & Accounting",2000-03-23,MA,Male,"Fully Meets",3,3868,3,1,2,2022-09-27,"Project Management",Internal,Completed,"Taylor Harrington",3,272.58
"Adrienne J",Homberger,2019-04-19,2021-10-26,"Production Technician II","Brandon Miller",TNS,"Voluntarily Terminated",Full-Time,Voluntary,Production,Fielders,1974-11-23,MA,Female,"Fully Meets",1,3570,2,5,3,2023-03-29,"Project Management",External,Failed,"Matthew Ramirez",2,796.88
Adyson,Esparza,2021-04-25,NULL,"Production Technician I","Michael Austin",PYZ,Active,Contract,Unk,Production,Engineers,2001-04-05,MA,Female,"Fully Meets",3,2004,3,3,4,2023-02-27,"Leadership Development",Internal,Completed,"Kathy Norris",1,628.83
Adyson,Strickland,2020-12-28,NULL,"Production Technician I","Caroline Harris",SVG,Active,Part-Time,Unk,Production,Engineers,2001-06-10,MA,Male,"Fully Meets",3,3423,4,5,3,2022-10-14,"Technical Skills",External,Completed,"David Matthews",1,439.65
Ahmed,Hawkins,2020-05-01,2021-02-25,"Area Sales Manager","Hannah Snyder",PL,Active,Full-Time,Retirement,Sales,Aerial,1974-10-15,CO,Male,"Fully Meets",1,3527,1,3,2,2023-01-06,"Project Management",Internal,Failed,"Scott Richardson",4,396.28
Ahmed,Lindsey,2021-02-02,2022-05-13,"Production Technician II","John Taylor",EW,"Leave of Absence",Contract,Resignation,Production,Catv,1962-08-22,MA,Female,"Fully Meets",3,3347,4,2,1,2023-01-24,"Technical Skills",External,Incomplete,"Theresa Martin",1,501.92
Ahmed,Mcmahon,2022-11-21,NULL,"Data Analyst","Brian Ortiz MD",EW,Active,Contract,Unk,Production,"Field Operations",2000-05-30,MA,Male,"Fully Meets",1,2371,2,1,5,2023-04-19,"Customer Service",Internal,Passed,"Jennifer Jones",4,133.56
Ahmed,Montgomery,2022-10-04,2023-03-05,"Production Technician I","Daniel Guerra",SVG,Active,Contract,Involuntary,Production,Executive,1984-12-06,MA,Male,"Fully Meets",3,1886,3,2,5,2023-06-10,"Customer Service",External,Completed,"Gregory Henderson",1,349.8
Aidan,Harding,2021-07-13,NULL,"Area Sales Manager","Trevor Adkins",CCDR,Active,Full-Time,Unk,Sales,Aerial,1942-05-26,OR,Male,"Fully Meets",5,3508,1,5,4,2023-04-04,"Communication Skills",External,Completed,"Ashley Contreras",1,568.22
Aiden,Wade,2021-07-29,2022-08-12,"IT Support","Amber Johnson",CCDR,Active,Contract,Resignation,IT/IS,"Field Operations",1951-10-22,MA,Female,Exceeds,4,2214,1,1,5,2023-03-16,"Leadership Development",Internal,Passed,"Lori Stout",4,973.62
Aidyn,Cuevas,2022-03-04,2023-07-02,"Production Technician I","Melissa Young",SVG,Active,Full-Time,Voluntary,Production,"Field Operations",1963-06-10,MA,Female,"Fully Meets",4,2897,3,5,2,2022-11-26,"Leadership Development",Internal,Passed,"John Gallagher",2,926.17
Aileen,Pacheco,2022-05-10,2022-07-16,"IT Support","Alicia Farrell",MSC,Active,Full-Time,Resignation,IT/IS,"Field Operations",1994-03-29,MA,Female,"Fully Meets",4,2242,3,2,4,2022-12-17,"Project Management",External,Failed,"Debbie Salas",1,627.11
Aileen,Wright,2023-07-24,NULL,"Area Sales Manager","Nathan Silva",TNS,Active,Part-Time,Unk,Sales,Fielders,1956-03-27,TN,Male,"Fully Meets",1,2594,1,5,3,2022-12-01,"Communication Skills",Internal,Failed,"Richard Jones",3,273.94
Aimee,Berg,2021-06-11,2022-12-03,"Production Technician I","Rodney Grant",WBL,Active,Contract,Retirement,Production,"General - Con",2000-08-21,MA,Female,"Fully Meets",4,2880,1,1,2,2023-02-15,"Project Management",Internal,Failed,"Ryan Gray",4,932.34
Aimee,Davila,2021-05-09,NULL,"Production Technician I","Teresa George",TNS,Active,Full-Time,Unk,Production,"Wireline Construction",1976-02-16,MA,Male,"Fully Meets",3,3313,1,2,2,2023-03-30,"Technical Skills",Internal,Failed,"Jeffrey Higgins",1,705.95
Aimee,Hughes,2020-08-13,2020-10-02,"Production Technician I","Jose Brown",PYZ,"Voluntarily Terminated",Part-Time,Resignation,Production,"General - Con",1985-04-01,MA,Female,Exceeds,2,3383,3,2,3,2022-11-16,"Leadership Development",Internal,Failed,"Kevin Reyes",4,750.79
Aimee,Santana,2020-12-28,2021-10-01,"Production Technician II","Luke Bright",PYZ,"Voluntarily Terminated",Part-Time,Voluntary,Production,"Project Management - Con",1961-03-02,MA,Male,"Fully Meets",3,1539,4,4,5,2022-12-20,"Communication Skills",Internal,Passed,"Sierra Mooney",5,899.57
Aimee,Terry,2019-07-07,2020-02-14,"Production Technician I","Christopher Stewart",TNS,Active,Full-Time,Retirement,Production,"Field Operations",1996-11-30,MA,Female,"Fully Meets",3,1249,2,4,2,2022-08-15,"Communication Skills",Internal,Completed,"Cheyenne Rice",4,371.27
Ainsley,Booth,2023-01-01,NULL,"Production Technician I","Anita Chapman",PL,Active,Part-Time,Unk,Production,"Field Operations",1983-12-31,MA,Female,"Needs Improvement",3,1833,4,3,2,2023-03-26,"Technical Skills",Internal,Failed,"Patrick Gomez",2,712.9
Alain,Robinson,2019-05-03,2023-06-02,"Production Technician I","Stephanie Griffin",PL,"Voluntarily Terminated",Part-Time,Involuntary,Production,"General - Eng",1993-01-10,MA,Male,"Fully Meets",3,1098,2,2,2,2023-05-13,"Leadership Development",External,Failed,"Kimberly Smith",5,666.67
Alaina,Jenkins,2020-10-10,2023-06-23,"Production Technician I","John Jordan",PYZ,Active,Contract,Retirement,Production,"Project Management - Con",1974-06-13,MA,Female,PIP,2,3018,1,1,4,2023-04-02,"Communication Skills",External,Passed,"Jenna Waters",1,980.49
Alaina,Mayo,2022-07-05,2022-12-28,"Production Technician I","Mr. Tony Collier",CCDR,Active,Contract,Voluntary,Production,"Field Operations",1953-12-29,MA,Female,Exceeds,5,3152,1,3,1,2023-03-24,"Communication Skills",Internal,Failed,"Stephanie Blake",4,955.95
Alan,Haynes,2020-06-19,2021-12-08,"Senior BI Developer","Justin Sherman",CCDR,Active,Part-Time,Involuntary,"Admin Offices","General - Con",1942-02-24,MA,Female,"Fully Meets",3,1018,4,1,4,2023-03-25,"Project Management",Internal,Incomplete,"Whitney Morgan DVM",2,673.29
Alan,Holland,2022-07-19,2023-04-25,"Network Engineer","Susan Livingston",WBL,Active,Full-Time,Resignation,IT/IS,"General - Con",1999-08-20,MA,Male,"Fully Meets",3,3890,2,3,3,2023-01-08,"Project Management",External,Completed,"Brian Salazar II",4,596.62
Alan,Woods,2023-05-27,2023-07-28,"Production Technician II","Erin George",MSC,Active,Part-Time,Voluntary,Production,"General - Eng",1943-05-08,MA,Female,"Fully Meets",5,3027,3,2,4,2023-07-05,"Communication Skills",External,Incomplete,"Matthew Ramirez",4,707.06
Alana,Castro,2021-10-24,NULL,"Principal Data Architect","Deborah Bell",CCDR,Active,Contract,Unk,IT/IS,"General - Con",1954-05-30,MA,Female,PIP,3,3876,3,2,5,2022-11-10,"Leadership Development",External,Failed,"Gary Park",1,946.23
Alana,Choi,2020-01-16,2021-02-09,"Production Technician I","Kelly Tate",BPC,"Voluntarily Terminated",Part-Time,Voluntary,Production,Engineers,1974-02-09,MA,Female,"Fully Meets",3,1219,2,2,2,2022-09-15,"Communication Skills",External,Failed,"Steven Gutierrez",5,761.31
Alana,Nunez,2022-05-22,2022-12-08,"Production Technician I","Rose Johnson",PYZ,"Terminated for Cause",Full-Time,Resignation,Production,"Finance & Accounting",1947-05-02,MA,Male,"Fully Meets",5,3068,3,2,1,2022-11-18,"Customer Service",External,Completed,"Nancy Lowe",3,261.81
Alani,Cooley,2019-12-23,2023-08-05,"Production Technician I","Julie Donovan",BPC,Active,Part-Time,Retirement,Production,Aerial,1987-03-29,MA,Female,"Fully Meets",1,3086,4,2,2,2023-06-27,"Communication Skills",Internal,Incomplete,"Hannah Ortiz",2,288.09
Alani,Phillips,2021-12-31,2023-05-10,"Production Technician I","Jim Melton",PL,"Terminated for Cause",Part-Time,Involuntary,Production,"General - Eng",1950-06-09,MA,Male,"Fully Meets",5,3264,1,4,3,2022-09-01,"Leadership Development",Internal,Failed,"Joe Garcia",4,506.18
Alanna,Mullins,2020-04-15,2022-05-13,"IT Support","Dustin Sanchez",NEL,Active,Full-Time,Involuntary,IT/IS,Executive,1979-01-03,MA,Female,"Fully Meets",3,3934,3,3,2,2023-02-16,"Project Management",Internal,Completed,"Frederick White",5,219.78
Alannah,Rivas,2022-08-07,2023-04-26,"BI Developer","Stacy Lopez",PYZ,Active,Contract,Resignation,IT/IS,Engineers,1994-05-20,MA,Male,"Fully Meets",4,2572,1,1,2,2022-09-02,"Technical Skills",Internal,Completed,"Michael Carroll",5,797.82
Alayna,Hess,2020-08-04,2022-02-04,"Network Engineer","Todd Baker",WBL,Active,Full-Time,Involuntary,IT/IS,"Billable Consultants",1958-06-08,MA,Female,"Fully Meets",3,3905,5,5,5,2022-12-18,"Project Management",Internal,Failed,"Holly Stewart",3,233.22
Albert,Gonzalez,2018-08-29,NULL,"Area Sales Manager","Amber Hernandez",EW,Active,Part-Time,Unk,Sales,"General - Con",1995-07-18,CO,Male,"Fully Meets",4,3484,1,2,4,2023-06-27,"Project Management",External,Passed,"Justin Barton",1,795.7
Alden,Powers,2019-07-04,NULL,"BI Developer","Elizabeth Walker",NEL,Active,Contract,Unk,IT/IS,"Wireline Construction",1981-01-21,MA,Male,"Fully Meets",3,1726,3,5,3,2022-10-19,"Technical Skills",Internal,Completed,"Joshua Brewer",4,435.18
Aldo,Dyer,2020-09-02,2023-05-26,"Production Technician II","Chase Ramirez",TNS,"Voluntarily Terminated",Contract,Resignation,Production,Wireless,1989-10-07,MA,Female,PIP,3,3696,2,1,2,2023-01-13,"Technical Skills",Internal,Passed,"James Gonzalez",2,299.59
Alec,Stephens,2020-02-25,NULL,"Production Technician II","Jessica Garcia",PL,Active,Full-Time,Unk,Production,"Field Operations",2000-06-14,MA,Female,"Fully Meets",3,1989,4,2,5,2022-12-04,"Leadership Development",External,Incomplete,"Karen Fox",4,329.3
Aleena,David,2019-05-26,NULL,"Production Technician II","Louis Griffith",TNS,Active,Full-Time,Unk,Production,"General - Con",1943-10-05,MA,Female,"Fully Meets",2,2951,3,1,3,2022-09-07,"Leadership Development",External,Passed,"Patrick Cruz",3,973.96
Aleena,Mercer,2020-01-19,NULL,"Production Technician I","Kyle Turner",CCDR,Active,Full-Time,Unk,Production,"Field Operations",1965-04-19,MA,Male,"Fully Meets",4,3714,3,5,2,2023-05-18,"Leadership Development",Internal,Passed,"Jonathan Williams",5,448.57
Alejandra,Barnes,2018-09-26,2019-10-15,"Production Technician I","Yolanda Sanders",SVG,"Voluntarily Terminated",Full-Time,Voluntary,Production,"Field Operations",1986-10-26,MA,Female,"Fully Meets",3,2078,5,5,2,2022-08-07,"Communication Skills",Internal,Incomplete,"Tiffany Reed",5,737.61
Alejandra,Mclean,2020-03-19,NULL,"Production Technician I","Katie Barry",PYZ,Active,Contract,Unk,Production,Isp,1985-04-11,MA,Female,"Fully Meets",3,1240,1,4,3,2023-01-04,"Communication Skills",External,Passed,"Stacy Morton",5,758.75
Alejandro,Bacong,2022-08-24,NULL,"IT Support","Joseph Mathews",SVG,Active,Part-Time,Unk,IT/IS,Engineers,1955-02-25,MA,Male,"Fully Meets",3,3813,2,3,4,2023-07-21,"Technical Skills",Internal,Failed,"Paul Robinson",1,169.79
Alejandro,Wilkinson,2023-02-01,NULL,"Area Sales Manager","Robert Avery",PL,Active,Full-Time,Unk,Sales,"Field Operations",1995-08-18,WA,Female,"Fully Meets",4,2715,3,5,1,2022-10-14,"Customer Service",External,Completed,"Michelle Hicks",5,573.56
Alena,Bonilla,2019-05-01,NULL,"Production Technician I","Thomas Lee",EW,Active,Full-Time,Unk,Production,"Field Operations",2000-10-14,MA,Male,"Fully Meets",3,1881,3,5,3,2023-06-30,"Communication Skills",External,Passed,"Julian Ward",4,584.92
Alena,Ibarra,2019-06-26,2020-01-27,"Production Manager","Brandy Coleman",CCDR,Active,Contract,Voluntary,Production,"General - Con",1949-05-19,MA,Female,"Fully Meets",2,2404,3,3,1,2023-04-21,"Project Management",External,Failed,"Gregory Fowler",3,561.63
Alena,Walter,2022-01-07,NULL,"Area Sales Manager","David Figueroa",PL,Active,Full-Time,Unk,Sales,Splicing,1999-07-19,AZ,Male,"Fully Meets",4,2673,5,1,1,2023-05-11,"Customer Service",Internal,Incomplete,"Candace Anderson",2,281.27
Alessandra,Huynh,2020-10-27,2021-11-08,"Production Technician I","Brandon Bates",SVG,"Voluntarily Terminated",Part-Time,Voluntary,Production,Engineers,1968-09-12,MA,Female,"Fully Meets",3,1238,1,3,3,2022-11-14,"Leadership Development",Internal,Incomplete,"Vanessa Valdez",2,640.14
